13,194
276,186
303,186
1,179
655,179
416,172
450,171
405,168
222,165
537,161
429,158
234,154
293,153
435,152
682,151
92,150
279,150
94,149
417,148
201,147
268,146
308,146
7,145
378,142
59,139
561,139
896,138
880,137
592,135
758,135
393,134
846,134
130,133
804,133
727,132
406,131
749,131
457,130
916,130
474,126
648,126
796,125
301,124
387,124
551,124
889,124
5,122
864,122
194,121
334,119
363,119
399,118
327,117
497,117
311,115
650,115
286,114
622,114
269,113
533,113
642,113
271,112
291,112
805,112
85,111
881,111
178,110
95,109
339,109
833,109
151,108
472,108
716,108
18,106
653,106
886,106
313,105
747,105
280,104
524,104
790,104
437,103
892,103
145,102
299,102
606,102
109,101
374,101
870,101
343,100
385,100
407,100
62,99
373,99
244,98
328,98
500,98
305,97
504,97
660,97
207,96
389,96
487,96
90,95
181,95
788,95
868,95
883,95
64,94
345,94
479,94
495,94
514,94
588,94
823,94
6,93
297,92
295,91
347,91
843,91
454,90
506,90
43,89
144,89
184,89
198,89
267,89
354,89
774,89
933,89
456,88
643,88
919,88
87,87
535,87
666,87
715,87
23,86
379,86
618,86
49,85
158,85
200,85
246,84
425,84
711,84
854,84
44,83
56,83
344,83
932,83
60,82
102,82
346,82
532,82
807,82
897,82
11,81
249,81
894,81
543,80
545,80
586,80
125,78
738,78
757,78
773,78
815,78
10,77
42,77
189,77
326,77
452,77
455,77
521,77
601,77
128,76
290,76
332,76
342,76
664,76
468,75
330,74
409,74
577,74
795,74
847,74
82,73
174,73
314,73
943,73
254,72
256,72
398,72
453,72
659,72
318,71
394,71
488,71
536,71
766,71
798,71
458,70
493,70
627,70
899,70
566,69
621,69
721,69
922,69
447,68
806,68
840,68
882,68
16,67
296,67
484,67
503,67
887,67
230,66
312,66
320,66
486,66
498,66
593,66
665,66
707,66
862,66
934,66
527,65
542,65
654,65
913,65
58,64
70,64
119,64
221,64
442,64
608,64
694,64
751,64
851,64
262,63
567,63
21,62
22,62
216,62
239,62
699,62
786,62
210,61
663,61
693,61
380,60
401,60
548,60
763,60
848,60
177,59
215,59
99,58
250,58
645,58
709,58
712,58
901,58
903,58
72,56
83,56
214,56
391,56
478,56
496,56
661,56
38,55
213,55
298,55
632,55
698,55
160,54
705,54
756,54
878,54
275,53
325,53
690,53
927,53
270,52
741,52
307,51
361,51
541,51
671,51
